pref,city,2022-06-02
滋賀県,滋賀県,293
滋賀県,大津市,96
滋賀県,彦根市,42
滋賀県,長浜市,6
滋賀県,近江八幡市,17
滋賀県,草津市,36
滋賀県,守山市,29
滋賀県,栗東市,15
滋賀県,甲賀市,10
滋賀県,野洲市,12
滋賀県,湖南市,5
滋賀県,高島市,4
滋賀県,東近江市,10
滋賀県,米原市,1
滋賀県,蒲生郡日野町,3
滋賀県,蒲生郡竜王町,1
滋賀県,愛知郡愛荘町,6
京都府,京都府,1152
京都府,京都市北区,62
京都府,京都市上京区,68
京都府,京都市左京区,78
京都府,京都市中京区,178
京都府,京都市東山区,49
京都府,京都市下京区,116
京都府,京都市南区,46
京都府,京都市右京区,77
京都府,京都市伏見区,92
京都府,京都市山科区,53
京都府,京都市西京区,44
京都府,福知山市,20
京都府,舞鶴市,40
京都府,綾部市,3
京都府,宇治市,45
京都府,宮津市,5
京都府,亀岡市,16
京都府,城陽市,14
京都府,向日市,16
京都府,長岡京市,23
京都府,八幡市,24
京都府,京田辺市,28
京都府,京丹後市,10
京都府,南丹市,4
京都府,木津川市,18
京都府,乙訓郡大山崎町,1
京都府,久世郡久御山町,6
京都府,綴喜郡井手町,1
京都府,綴喜郡宇治田原町,3
京都府,相楽郡和束町,1
京都府,相楽郡精華町,7
京都府,与謝郡伊根町,2
京都府,与謝郡与謝野町,2
大阪府,大阪府,7453
大阪府,大阪市都島区,138
大阪府,大阪市福島区,100
大阪府,大阪市此花区,42
大阪府,大阪市西区,216
大阪府,大阪市港区,45
大阪府,大阪市大正区,49
大阪府,大阪市天王寺区,144
大阪府,大阪市浪速区,119
大阪府,大阪市西淀川区,44
大阪府,大阪市東淀川区,135
大阪府,大阪市東成区,107
大阪府,大阪市生野区,105
大阪府,大阪市旭区,103
大阪府,大阪市城東区,119
大阪府,大阪市阿倍野区,160
大阪府,大阪市住吉区,151
大阪府,大阪市東住吉区,104
大阪府,大阪市西成区,74
大阪府,大阪市淀川区,207
大阪府,大阪市鶴見区,76
大阪府,大阪市住之江区,52
大阪府,大阪市平野区,103
大阪府,大阪市北区,583
大阪府,大阪市中央区,721
大阪府,堺市堺区,140
大阪府,堺市中区,61
大阪府,堺市東区,45
大阪府,堺市西区,83
大阪府,堺市南区,69
大阪府,堺市北区,125
大阪府,堺市美原区,27
大阪府,岸和田市,80
大阪府,豊中市,315
大阪府,池田市,95
大阪府,吹田市,265
大阪府,泉大津市,41
大阪府,高槻市,229
大阪府,貝塚市,43
大阪府,守口市,107
大阪府,枚方市,198
大阪府,茨木市,176
大阪府,八尾市,163
大阪府,泉佐野市,83
大阪府,富田林市,42
大阪府,寝屋川市,112
大阪府,河内長野市,41
大阪府,松原市,69
大阪府,大東市,62
大阪府,和泉市,80
大阪府,箕面市,149
大阪府,柏原市,21
大阪府,羽曳野市,37
大阪府,門真市,83
大阪府,摂津市,54
大阪府,高石市,33
大阪府,藤井寺市,27
大阪府,東大阪市,376
大阪府,泉南市,29
大阪府,四條畷市,24
大阪府,交野市,45
大阪府,大阪狭山市,41
大阪府,阪南市,19
大阪府,三島郡島本町,11
大阪府,豊能郡豊能町,2
大阪府,豊能郡能勢町,1
大阪府,泉北郡忠岡町,4
大阪府,泉南郡熊取町,29
大阪府,泉南郡田尻町,2
大阪府,泉南郡岬町,9
大阪府,南河内郡太子町,5
大阪府,南河内郡河南町,4
兵庫県,兵庫県,2522
兵庫県,神戸市東灘区,120
兵庫県,神戸市灘区,109
兵庫県,神戸市兵庫区,77
兵庫県,神戸市長田区,68
兵庫県,神戸市須磨区,74
兵庫県,神戸市垂水区,88
兵庫県,神戸市北区,86
兵庫県,神戸市中央区,493
兵庫県,神戸市西区,72
兵庫県,姫路市,147
兵庫県,尼崎市,222
兵庫県,明石市,110
兵庫県,西宮市,235
兵庫県,洲本市,6
兵庫県,芦屋市,48
兵庫県,伊丹市,82
兵庫県,相生市,2
兵庫県,豊岡市,6
兵庫県,加古川市,73
兵庫県,赤穂市,4
兵庫県,西脇市,8
兵庫県,宝塚市,136
兵庫県,三木市,16
兵庫県,高砂市,15
兵庫県,川西市,68
兵庫県,小野市,4
兵庫県,三田市,54
兵庫県,加西市,5
兵庫県,丹波篠山市,1
兵庫県,丹波市,7
兵庫県,南あわじ市,8
兵庫県,朝来市,4
兵庫県,淡路市,6
兵庫県,宍粟市,4
兵庫県,加東市,2
兵庫県,たつの市,12
兵庫県,川辺郡猪名川町,14
兵庫県,加古郡稲美町,8
