pref,city,2025-01-22
徳島県,徳島県,105
徳島県,徳島市,46
徳島県,鳴門市,9
徳島県,小松島市,7
徳島県,阿南市,9
徳島県,吉野川市,3
徳島県,阿波市,1
徳島県,三好市,5
徳島県,名西郡石井町,2
徳島県,板野郡松茂町,7
徳島県,板野郡北島町,5
徳島県,板野郡藍住町,10
徳島県,三好郡東みよし町,1
香川県,香川県,154
香川県,高松市,83
香川県,丸亀市,21
香川県,坂出市,10
香川県,善通寺市,6
香川県,観音寺市,8
香川県,さぬき市,3
香川県,三豊市,8
香川県,小豆郡土庄町,3
香川県,小豆郡小豆島町,3
香川県,木田郡三木町,5
香川県,綾歌郡宇多津町,1
香川県,綾歌郡綾川町,3
愛媛県,愛媛県,320
愛媛県,松山市,147
愛媛県,今治市,39
愛媛県,宇和島市,9
愛媛県,新居浜市,24
愛媛県,西条市,42
愛媛県,大洲市,15
愛媛県,伊予市,8
愛媛県,四国中央市,15
愛媛県,東温市,4
愛媛県,越智郡上島町,1
愛媛県,伊予郡松前町,4
愛媛県,伊予郡砥部町,5
愛媛県,喜多郡内子町,3
愛媛県,南宇和郡愛南町,4
高知県,高知県,144
高知県,高知市,83
高知県,安芸市,4
高知県,南国市,14
高知県,土佐市,4
高知県,須崎市,3
高知県,宿毛市,1
高知県,土佐清水市,2
高知県,四万十市,8
高知県,香南市,5
高知県,香美市,4
高知県,土佐郡土佐町,1
高知県,吾川郡いの町,3
高知県,吾川郡仁淀川町,2
高知県,高岡郡佐川町,5
高知県,高岡郡越知町,4
高知県,高岡郡津野町,1
