pref,city,2025-11-18
徳島県,徳島県,108
徳島県,徳島市,42
徳島県,鳴門市,11
徳島県,小松島市,7
徳島県,阿南市,10
徳島県,吉野川市,4
徳島県,阿波市,3
徳島県,三好市,5
徳島県,名西郡石井町,2
徳島県,板野郡松茂町,6
徳島県,板野郡北島町,5
徳島県,板野郡藍住町,10
徳島県,板野郡板野町,2
徳島県,三好郡東みよし町,1
香川県,香川県,146
香川県,高松市,80
香川県,丸亀市,21
香川県,坂出市,9
香川県,善通寺市,4
香川県,観音寺市,9
香川県,さぬき市,2
香川県,三豊市,8
香川県,小豆郡土庄町,4
香川県,小豆郡小豆島町,3
香川県,木田郡三木町,3
香川県,綾歌郡宇多津町,1
香川県,綾歌郡綾川町,2
愛媛県,愛媛県,314
愛媛県,松山市,138
愛媛県,今治市,42
愛媛県,宇和島市,10
愛媛県,新居浜市,26
愛媛県,西条市,41
愛媛県,大洲市,14
愛媛県,伊予市,8
愛媛県,四国中央市,15
愛媛県,東温市,4
愛媛県,越智郡上島町,1
愛媛県,上浮穴郡久万高原町,1
愛媛県,伊予郡松前町,3
愛媛県,伊予郡砥部町,4
愛媛県,喜多郡内子町,3
愛媛県,南宇和郡愛南町,4
高知県,高知県,133
高知県,高知市,76
高知県,安芸市,4
高知県,南国市,11
高知県,土佐市,4
高知県,須崎市,3
高知県,土佐清水市,2
高知県,四万十市,10
高知県,香南市,3
高知県,香美市,3
高知県,土佐郡土佐町,1
高知県,吾川郡いの町,4
高知県,吾川郡仁淀川町,2
高知県,高岡郡佐川町,5
高知県,高岡郡越知町,4
高知県,高岡郡津野町,1
