pref,city,2022-02-10
鳥取県,鳥取県,67
鳥取県,鳥取市,22
鳥取県,米子市,29
鳥取県,倉吉市,9
鳥取県,境港市,1
鳥取県,東伯郡琴浦町,3
鳥取県,西伯郡南部町,2
鳥取県,日野郡江府町,1
島根県,島根県,77
島根県,松江市,31
島根県,浜田市,4
島根県,出雲市,26
島根県,益田市,2
島根県,大田市,3
島根県,安来市,2
島根県,雲南市,3
島根県,邑智郡川本町,2
島根県,邑智郡美郷町,1
島根県,隠岐郡隠岐の島町,3
岡山県,岡山県,306
岡山県,岡山市北区,78
岡山県,岡山市中区,22
岡山県,岡山市東区,12
岡山県,岡山市南区,35
岡山県,倉敷市,69
岡山県,津山市,10
岡山県,玉野市,6
岡山県,笠岡市,5
岡山県,井原市,2
岡山県,総社市,15
岡山県,高梁市,2
岡山県,備前市,8
岡山県,瀬戸内市,7
岡山県,赤磐市,11
岡山県,真庭市,9
岡山県,美作市,2
岡山県,浅口市,1
岡山県,和気郡和気町,5
岡山県,都窪郡早島町,2
岡山県,小田郡矢掛町,2
岡山県,勝田郡勝央町,1
岡山県,勝田郡奈義町,1
岡山県,英田郡西粟倉村,1
広島県,広島県,575
広島県,広島市中区,86
広島県,広島市東区,30
広島県,広島市南区,34
広島県,広島市西区,53
広島県,広島市安佐南区,50
広島県,広島市安佐北区,16
広島県,広島市安芸区,10
広島県,広島市佐伯区,35
広島県,呉市,40
広島県,竹原市,1
広島県,三原市,3
広島県,尾道市,20
広島県,福山市,85
広島県,府中市,3
広島県,三次市,3
広島県,庄原市,7
広島県,大竹市,4
広島県,東広島市,37
広島県,廿日市市,25
広島県,江田島市,2
広島県,安芸郡府中町,10
広島県,安芸郡海田町,5
広島県,安芸郡熊野町,5
広島県,安芸郡坂町,7
広島県,山県郡安芸太田町,4
山口県,山口県,211
山口県,下関市,65
山口県,宇部市,32
山口県,山口市,26
山口県,萩市,5
山口県,防府市,21
山口県,下松市,4
山口県,岩国市,16
山口県,光市,3
山口県,長門市,1
山口県,柳井市,2
山口県,美祢市,1
山口県,周南市,7
山口県,山陽小野田市,24
山口県,玖珂郡和木町,2
山口県,熊毛郡田布施町,2
