pref,city,2022-03-06
鳥取県,鳥取県,82
鳥取県,鳥取市,24
鳥取県,米子市,38
鳥取県,倉吉市,11
鳥取県,境港市,1
鳥取県,東伯郡琴浦町,3
鳥取県,西伯郡南部町,3
鳥取県,西伯郡伯耆町,1
鳥取県,日野郡江府町,1
島根県,島根県,91
島根県,松江市,38
島根県,浜田市,4
島根県,出雲市,31
島根県,益田市,2
島根県,大田市,4
島根県,安来市,2
島根県,雲南市,3
島根県,邑智郡川本町,2
島根県,邑智郡美郷町,1
島根県,隠岐郡隠岐の島町,4
岡山県,岡山県,330
岡山県,岡山市北区,86
岡山県,岡山市中区,21
岡山県,岡山市東区,12
岡山県,岡山市南区,41
岡山県,倉敷市,72
岡山県,津山市,12
岡山県,玉野市,6
岡山県,笠岡市,5
岡山県,井原市,2
岡山県,総社市,16
岡山県,高梁市,2
岡山県,備前市,8
岡山県,瀬戸内市,8
岡山県,赤磐市,11
岡山県,真庭市,10
岡山県,美作市,2
岡山県,浅口市,1
岡山県,和気郡和気町,6
岡山県,都窪郡早島町,2
岡山県,小田郡矢掛町,4
岡山県,勝田郡勝央町,1
岡山県,勝田郡奈義町,1
岡山県,英田郡西粟倉村,1
広島県,広島県,612
広島県,広島市中区,94
広島県,広島市東区,33
広島県,広島市南区,35
広島県,広島市西区,55
広島県,広島市安佐南区,53
広島県,広島市安佐北区,17
広島県,広島市安芸区,12
広島県,広島市佐伯区,39
広島県,呉市,38
広島県,竹原市,2
広島県,三原市,4
広島県,尾道市,22
広島県,福山市,90
広島県,府中市,3
広島県,三次市,3
広島県,庄原市,9
広島県,大竹市,4
広島県,東広島市,38
広島県,廿日市市,25
広島県,江田島市,2
広島県,安芸郡府中町,11
広島県,安芸郡海田町,6
広島県,安芸郡熊野町,6
広島県,安芸郡坂町,7
広島県,山県郡安芸太田町,4
山口県,山口県,220
山口県,下関市,69
山口県,宇部市,33
山口県,山口市,27
山口県,萩市,5
山口県,防府市,22
山口県,下松市,4
山口県,岩国市,19
山口県,光市,3
山口県,長門市,1
山口県,柳井市,3
山口県,美祢市,1
山口県,周南市,8
山口県,山陽小野田市,21
山口県,玖珂郡和木町,2
山口県,熊毛郡田布施町,2
