pref,city,2022-01-04
岐阜県,岐阜県,287
岐阜県,岐阜市,87
岐阜県,大垣市,22
岐阜県,高山市,6
岐阜県,多治見市,20
岐阜県,関市,11
岐阜県,中津川市,16
岐阜県,美濃市,1
岐阜県,瑞浪市,5
岐阜県,羽島市,13
岐阜県,恵那市,4
岐阜県,美濃加茂市,8
岐阜県,土岐市,7
岐阜県,各務原市,22
岐阜県,可児市,13
岐阜県,山県市,2
岐阜県,瑞穂市,8
岐阜県,飛騨市,5
岐阜県,本巣市,4
岐阜県,郡上市,1
岐阜県,海津市,2
岐阜県,羽島郡岐南町,3
岐阜県,羽島郡笠松町,3
岐阜県,不破郡垂井町,5
岐阜県,安八郡神戸町,1
岐阜県,安八郡安八町,2
岐阜県,揖斐郡揖斐川町,2
岐阜県,揖斐郡大野町,5
岐阜県,揖斐郡池田町,1
岐阜県,本巣郡北方町,2
岐阜県,加茂郡八百津町,1
岐阜県,可児郡御嵩町,5
静岡県,静岡県,671
静岡県,静岡市葵区,69
静岡県,静岡市駿河区,39
静岡県,静岡市清水区,23
静岡県,浜松市中区,45
静岡県,浜松市東区,41
静岡県,浜松市西区,23
静岡県,浜松市南区,19
静岡県,浜松市北区,17
静岡県,浜松市浜北区,18
静岡県,浜松市天竜区,1
静岡県,沼津市,27
静岡県,熱海市,15
静岡県,三島市,24
静岡県,富士宮市,15
静岡県,伊東市,21
静岡県,島田市,12
静岡県,富士市,41
静岡県,磐田市,37
静岡県,焼津市,17
静岡県,掛川市,31
静岡県,藤枝市,24
静岡県,御殿場市,8
静岡県,袋井市,20
静岡県,下田市,7
静岡県,裾野市,5
静岡県,湖西市,13
静岡県,伊豆市,4
静岡県,御前崎市,2
静岡県,菊川市,9
静岡県,伊豆の国市,4
静岡県,牧之原市,10
静岡県,賀茂郡東伊豆町,4
静岡県,賀茂郡南伊豆町,3
静岡県,賀茂郡松崎町,1
静岡県,田方郡函南町,4
静岡県,駿東郡清水町,2
静岡県,駿東郡長泉町,6
静岡県,駿東郡小山町,2
静岡県,榛原郡吉田町,7
静岡県,周智郡森町,1
愛知県,愛知県,2195
愛知県,名古屋市千種区,124
愛知県,名古屋市東区,63
愛知県,名古屋市北区,94
愛知県,名古屋市西区,84
愛知県,名古屋市中村区,72
愛知県,名古屋市中区,244
愛知県,名古屋市昭和区,54
愛知県,名古屋市瑞穂区,41
愛知県,名古屋市熱田区,27
愛知県,名古屋市中川区,82
愛知県,名古屋市港区,31
愛知県,名古屋市南区,51
愛知県,名古屋市守山区,68
愛知県,名古屋市緑区,75
愛知県,名古屋市名東区,60
愛知県,名古屋市天白区,78
愛知県,豊橋市,39
愛知県,岡崎市,79
愛知県,一宮市,84
愛知県,瀬戸市,20
愛知県,半田市,27
愛知県,春日井市,78
愛知県,豊川市,16
愛知県,津島市,5
愛知県,碧南市,13
愛知県,刈谷市,37
愛知県,豊田市,62
愛知県,安城市,28
愛知県,西尾市,19
愛知県,蒲郡市,10
愛知県,犬山市,11
愛知県,常滑市,15
愛知県,江南市,30
愛知県,小牧市,26
愛知県,稲沢市,32
愛知県,新城市,1
愛知県,東海市,24
愛知県,大府市,10
愛知県,知多市,12
愛知県,知立市,18
愛知県,尾張旭市,20
愛知県,高浜市,7
愛知県,岩倉市,19
愛知県,豊明市,10
愛知県,日進市,29
愛知県,田原市,5
愛知県,愛西市,7
愛知県,清須市,25
愛知県,北名古屋市,18
愛知県,弥富市,9
愛知県,みよし市,12
愛知県,あま市,11
愛知県,長久手市,15
愛知県,愛知郡東郷町,8
愛知県,西春日井郡豊山町,3
愛知県,丹羽郡大口町,1
愛知県,丹羽郡扶桑町,6
愛知県,海部郡大治町,6
愛知県,海部郡蟹江町,8
愛知県,海部郡飛島村,1
愛知県,知多郡阿久比町,6
愛知県,知多郡東浦町,7
愛知県,知多郡南知多町,5
愛知県,知多郡美浜町,5
愛知県,知多郡武豊町,6
愛知県,額田郡幸田町,2
三重県,三重県,173
三重県,津市,19
三重県,四日市市,38
三重県,伊勢市,9
三重県,松阪市,10
三重県,桑名市,29
三重県,鈴鹿市,23
三重県,名張市,11
三重県,尾鷲市,2
三重県,亀山市,4
三重県,いなべ市,2
三重県,志摩市,2
三重県,伊賀市,5
三重県,員弁郡東員町,11
三重県,三重郡菰野町,1
三重県,三重郡朝日町,1
三重県,多気郡明和町,2
三重県,度会郡玉城町,1
三重県,北牟婁郡紀北町,1
三重県,南牟婁郡御浜町,1
三重県,南牟婁郡紀宝町,1
