pref,city,2023-11-08
岐阜県,岐阜県,587
岐阜県,岐阜市,171
岐阜県,大垣市,45
岐阜県,高山市,16
岐阜県,多治見市,33
岐阜県,関市,14
岐阜県,中津川市,30
岐阜県,美濃市,3
岐阜県,瑞浪市,13
岐阜県,羽島市,14
岐阜県,恵那市,14
岐阜県,美濃加茂市,25
岐阜県,土岐市,18
岐阜県,各務原市,43
岐阜県,可児市,35
岐阜県,山県市,7
岐阜県,瑞穂市,19
岐阜県,飛騨市,8
岐阜県,本巣市,13
岐阜県,郡上市,5
岐阜県,下呂市,2
岐阜県,海津市,2
岐阜県,羽島郡岐南町,6
岐阜県,羽島郡笠松町,3
岐阜県,養老郡養老町,10
岐阜県,不破郡垂井町,5
岐阜県,不破郡関ケ原町,1
岐阜県,安八郡神戸町,2
岐阜県,安八郡安八町,3
岐阜県,揖斐郡揖斐川町,2
岐阜県,揖斐郡大野町,13
岐阜県,揖斐郡池田町,1
岐阜県,本巣郡北方町,3
岐阜県,加茂郡坂祝町,3
岐阜県,可児郡御嵩町,5
静岡県,静岡県,1327
静岡県,静岡市葵区,123
静岡県,静岡市駿河区,72
静岡県,静岡市清水区,48
静岡県,浜松市中区,131
静岡県,浜松市東区,66
静岡県,浜松市西区,55
静岡県,浜松市南区,30
静岡県,浜松市北区,43
静岡県,浜松市浜北区,28
静岡県,浜松市天竜区,3
静岡県,沼津市,53
静岡県,熱海市,12
静岡県,三島市,32
静岡県,富士宮市,43
静岡県,伊東市,59
静岡県,島田市,17
静岡県,富士市,71
静岡県,磐田市,74
静岡県,焼津市,38
静岡県,掛川市,61
静岡県,藤枝市,42
静岡県,御殿場市,17
静岡県,袋井市,41
静岡県,下田市,17
静岡県,裾野市,8
静岡県,湖西市,23
静岡県,伊豆市,7
静岡県,御前崎市,5
静岡県,菊川市,16
静岡県,伊豆の国市,10
静岡県,牧之原市,24
静岡県,賀茂郡東伊豆町,5
静岡県,賀茂郡河津町,1
静岡県,賀茂郡南伊豆町,7
静岡県,賀茂郡松崎町,2
静岡県,賀茂郡西伊豆町,5
静岡県,田方郡函南町,8
静岡県,駿東郡清水町,5
静岡県,駿東郡長泉町,11
静岡県,駿東郡小山町,2
静岡県,榛原郡吉田町,10
静岡県,周智郡森町,2
愛知県,愛知県,3241
愛知県,名古屋市千種区,155
愛知県,名古屋市東区,81
愛知県,名古屋市北区,85
愛知県,名古屋市西区,89
愛知県,名古屋市中村区,127
愛知県,名古屋市中区,399
愛知県,名古屋市昭和区,57
愛知県,名古屋市瑞穂区,49
愛知県,名古屋市熱田区,44
愛知県,名古屋市中川区,81
愛知県,名古屋市港区,38
愛知県,名古屋市南区,44
愛知県,名古屋市守山区,78
愛知県,名古屋市緑区,73
愛知県,名古屋市名東区,73
愛知県,名古屋市天白区,80
愛知県,豊橋市,123
愛知県,岡崎市,130
愛知県,一宮市,146
愛知県,瀬戸市,31
愛知県,半田市,57
愛知県,春日井市,177
愛知県,豊川市,60
愛知県,津島市,17
愛知県,碧南市,10
愛知県,刈谷市,56
愛知県,豊田市,97
愛知県,安城市,64
愛知県,西尾市,24
愛知県,蒲郡市,26
愛知県,犬山市,26
愛知県,常滑市,21
愛知県,江南市,53
愛知県,小牧市,49
愛知県,稲沢市,51
愛知県,新城市,4
愛知県,東海市,32
愛知県,大府市,28
愛知県,知多市,20
愛知県,知立市,17
愛知県,尾張旭市,23
愛知県,高浜市,11
愛知県,岩倉市,17
愛知県,豊明市,28
愛知県,日進市,42
愛知県,田原市,6
愛知県,愛西市,15
愛知県,清須市,39
愛知県,北名古屋市,16
愛知県,弥富市,17
愛知県,みよし市,14
愛知県,あま市,22
愛知県,長久手市,19
愛知県,愛知郡東郷町,10
愛知県,西春日井郡豊山町,8
愛知県,丹羽郡大口町,5
愛知県,丹羽郡扶桑町,12
愛知県,海部郡大治町,13
愛知県,海部郡蟹江町,9
愛知県,海部郡飛島村,2
愛知県,知多郡阿久比町,10
愛知県,知多郡東浦町,12
愛知県,知多郡南知多町,6
愛知県,知多郡美浜町,7
愛知県,知多郡武豊町,3
愛知県,額田郡幸田町,3
三重県,三重県,334
三重県,津市,42
三重県,四日市市,83
三重県,伊勢市,24
三重県,松阪市,10
三重県,桑名市,29
三重県,鈴鹿市,69
三重県,名張市,13
三重県,尾鷲市,2
三重県,亀山市,7
三重県,鳥羽市,2
三重県,志摩市,7
三重県,伊賀市,3
三重県,員弁郡東員町,15
三重県,三重郡菰野町,7
三重県,三重郡朝日町,2
三重県,三重郡川越町,7
三重県,多気郡明和町,6
三重県,度会郡玉城町,3
三重県,北牟婁郡紀北町,1
三重県,南牟婁郡御浜町,1
三重県,南牟婁郡紀宝町,1
