pref,city,2023-04-24
青森県,青森県,631
青森県,青森市,83
青森県,弘前市,64
青森県,八戸市,75
青森県,黒石市,15
青森県,五所川原市,31
青森県,十和田市,32
青森県,三沢市,20
青森県,むつ市,30
青森県,つがる市,23
青森県,平川市,18
青森県,東津軽郡平内町,15
青森県,東津軽郡今別町,1
青森県,東津軽郡蓬田村,3
青森県,東津軽郡外ヶ浜町,7
青森県,西津軽郡鰺ヶ沢町,8
青森県,西津軽郡深浦町,10
青森県,中津軽郡西目屋村,3
青森県,南津軽郡藤崎町,9
青森県,南津軽郡大鰐町,11
青森県,南津軽郡田舎館村,5
青森県,北津軽郡板柳町,10
青森県,北津軽郡鶴田町,8
青森県,北津軽郡中泊町,7
青森県,上北郡野辺地町,5
青森県,上北郡七戸町,12
青森県,上北郡六戸町,8
青森県,上北郡横浜町,5
青森県,上北郡東北町,16
青森県,上北郡六ヶ所村,11
青森県,上北郡おいらせ町,17
青森県,下北郡大間町,5
青森県,下北郡東通村,9
青森県,下北郡風間浦村,2
青森県,下北郡佐井村,2
青森県,三戸郡三戸町,7
青森県,三戸郡五戸町,15
青森県,三戸郡田子町,2
青森県,三戸郡南部町,11
青森県,三戸郡階上町,16
岩手県,岩手県,1020
岩手県,盛岡市,150
岩手県,宮古市,138
岩手県,大船渡市,45
岩手県,花巻市,52
岩手県,北上市,28
岩手県,久慈市,109
岩手県,遠野市,20
岩手県,一関市,53
岩手県,陸前高田市,19
岩手県,釜石市,32
岩手県,二戸市,32
岩手県,八幡平市,16
岩手県,奥州市,27
岩手県,滝沢市,18
岩手県,岩手郡雫石町,13
岩手県,岩手郡葛巻町,12
岩手県,岩手郡岩手町,19
岩手県,紫波郡紫波町,26
岩手県,紫波郡矢巾町,13
岩手県,和賀郡西和賀町,4
岩手県,胆沢郡金ケ崎町,9
岩手県,西磐井郡平泉町,9
岩手県,気仙郡住田町,13
岩手県,上閉伊郡大槌町,30
岩手県,下閉伊郡山田町,14
岩手県,下閉伊郡岩泉町,57
岩手県,下閉伊郡田野畑村,1
岩手県,下閉伊郡普代村,2
岩手県,九戸郡軽米町,14
岩手県,九戸郡野田村,6
岩手県,九戸郡九戸村,7
岩手県,九戸郡洋野町,13
岩手県,二戸郡一戸町,19
宮城県,宮城県,962
宮城県,仙台市青葉区,89
宮城県,仙台市宮城野区,57
宮城県,仙台市若林区,31
宮城県,仙台市太白区,56
宮城県,仙台市泉区,59
宮城県,石巻市,73
宮城県,塩竈市,13
宮城県,気仙沼市,42
宮城県,白石市,20
宮城県,名取市,34
宮城県,角田市,16
宮城県,多賀城市,12
宮城県,岩沼市,18
宮城県,登米市,46
宮城県,栗原市,64
宮城県,東松島市,26
宮城県,大崎市,61
宮城県,富谷市,10
宮城県,刈田郡蔵王町,17
宮城県,刈田郡七ケ宿町,1
宮城県,柴田郡大河原町,10
宮城県,柴田郡村田町,11
宮城県,柴田郡柴田町,21
宮城県,柴田郡川崎町,9
宮城県,伊具郡丸森町,10
宮城県,亘理郡亘理町,11
宮城県,亘理郡山元町,9
宮城県,宮城郡松島町,12
宮城県,宮城郡七ヶ浜町,9
宮城県,宮城郡利府町,18
宮城県,黒川郡大和町,18
宮城県,黒川郡大郷町,10
宮城県,黒川郡大衡村,6
宮城県,加美郡色麻町,7
宮城県,加美郡加美町,8
宮城県,遠田郡涌谷町,10
宮城県,遠田郡美里町,15
宮城県,牡鹿郡女川町,8
宮城県,本吉郡南三陸町,15
秋田県,秋田県,768
秋田県,秋田市,134
秋田県,能代市,47
秋田県,横手市,62
秋田県,大館市,58
秋田県,男鹿市,39
秋田県,湯沢市,33
秋田県,鹿角市,33
秋田県,由利本荘市,57
秋田県,潟上市,22
秋田県,大仙市,65
秋田県,北秋田市,40
秋田県,にかほ市,29
秋田県,仙北市,35
秋田県,鹿角郡小坂町,7
秋田県,北秋田郡上小阿仁村,5
秋田県,山本郡藤里町,2
秋田県,山本郡三種町,19
秋田県,山本郡八峰町,12
秋田県,南秋田郡五城目町,11
秋田県,南秋田郡八郎潟町,4
秋田県,南秋田郡井川町,6
秋田県,南秋田郡大潟村,3
秋田県,仙北郡美郷町,16
秋田県,雄勝郡羽後町,26
秋田県,雄勝郡東成瀬村,3
山形県,山形県,599
山形県,山形市,84
山形県,米沢市,44
山形県,鶴岡市,61
山形県,酒田市,44
山形県,新庄市,18
山形県,寒河江市,16
山形県,上山市,19
山形県,村山市,22
山形県,長井市,14
山形県,天童市,24
山形県,東根市,22
山形県,尾花沢市,18
山形県,南陽市,23
山形県,東村山郡山辺町,6
山形県,東村山郡中山町,8
山形県,西村山郡河北町,10
山形県,西村山郡西川町,3
山形県,西村山郡朝日町,8
山形県,西村山郡大江町,11
山形県,北村山郡大石田町,7
山形県,最上郡金山町,4
山形県,最上郡最上町,6
山形県,最上郡舟形町,7
山形県,最上郡真室川町,6
山形県,最上郡大蔵村,2
山形県,最上郡鮭川村,3
山形県,最上郡戸沢村,6
山形県,東置賜郡高畠町,19
山形県,東置賜郡川西町,19
山形県,西置賜郡小国町,9
山形県,西置賜郡白鷹町,16
山形県,西置賜郡飯豊町,10
山形県,東田川郡三川町,6
山形県,東田川郡庄内町,13
山形県,飽海郡遊佐町,11
福島県,福島県,1407
福島県,福島市,115
福島県,会津若松市,69
福島県,郡山市,115
福島県,いわき市,153
福島県,白河市,56
福島県,須賀川市,52
福島県,喜多方市,30
福島県,相馬市,27
福島県,二本松市,41
福島県,田村市,35
福島県,南相馬市,36
福島県,伊達市,35
福島県,本宮市,16
福島県,伊達郡桑折町,7
福島県,伊達郡国見町,9
福島県,伊達郡川俣町,14
福島県,安達郡大玉村,4
福島県,岩瀬郡鏡石町,6
福島県,岩瀬郡天栄村,6
福島県,南会津郡下郷町,19
福島県,南会津郡檜枝岐村,7
福島県,南会津郡只見町,5
福島県,南会津郡南会津町,11
福島県,耶麻郡北塩原村,1
福島県,耶麻郡西会津町,3
福島県,耶麻郡磐梯町,5
福島県,耶麻郡猪苗代町,14
福島県,河沼郡会津坂下町,13
福島県,河沼郡湯川村,4
福島県,河沼郡柳津町,2
福島県,大沼郡三島町,1
福島県,大沼郡金山町,1
福島県,大沼郡昭和村,3
福島県,大沼郡会津美里町,16
福島県,西白河郡西郷村,21
福島県,西白河郡泉崎村,7
福島県,西白河郡中島村,5
福島県,西白河郡矢吹町,20
福島県,東白川郡棚倉町,13
福島県,東白川郡矢祭町,19
福島県,東白川郡塙町,99
福島県,東白川郡鮫川村,59
福島県,石川郡石川町,26
福島県,石川郡玉川村,8
福島県,石川郡平田村,2
福島県,石川郡浅川町,8
福島県,石川郡古殿町,30
福島県,田村郡三春町,13
福島県,田村郡小野町,13
福島県,双葉郡広野町,8
福島県,双葉郡楢葉町,3
福島県,双葉郡富岡町,2
福島県,双葉郡川内村,33
福島県,双葉郡大熊町,12
福島県,双葉郡浪江町,26
福島県,双葉郡葛尾村,11
福島県,相馬郡新地町,8
福島県,相馬郡飯舘村,30
