pref,city,2023-08-20
富山県,富山県,829
富山県,富山市,413
富山県,高岡市,129
富山県,魚津市,31
富山県,氷見市,25
富山県,滑川市,21
富山県,黒部市,23
富山県,砺波市,43
富山県,小矢部市,12
富山県,南砺市,28
富山県,射水市,51
富山県,中新川郡舟橋村,1
富山県,中新川郡上市町,14
富山県,中新川郡立山町,13
富山県,下新川郡入善町,18
富山県,下新川郡朝日町,7
石川県,石川県,419
石川県,金沢市,204
石川県,七尾市,10
石川県,小松市,57
石川県,輪島市,4
石川県,珠洲市,4
石川県,加賀市,20
石川県,羽咋市,8
石川県,かほく市,9
石川県,白山市,40
石川県,能美市,12
石川県,野々市市,20
石川県,河北郡津幡町,14
石川県,河北郡内灘町,9
石川県,羽咋郡宝達志水町,8
福井県,福井県,262
福井県,福井市,128
福井県,敦賀市,12
福井県,小浜市,4
福井県,大野市,9
福井県,勝山市,11
福井県,鯖江市,21
福井県,あわら市,13
福井県,越前市,19
福井県,坂井市,32
福井県,吉田郡永平寺町,9
福井県,丹生郡越前町,1
福井県,三方郡美浜町,1
福井県,大飯郡高浜町,1
福井県,三方上中郡若狭町,1
